,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
0,single,2nd phase - general contingent,5,Animation and Multimedia Design,daytime,Secondary education,122.0,Portuguese,Basic Education 3rd Cycle,Other - 11th Year,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,127.3,1,0,0,1,male,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
1,single,International student (bachelor),1,Tourism,daytime,Secondary education,160.0,Portuguese,Secondary Education - 12th Year,Higher Education - Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,142.5,1,0,0,0,male,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Non-Dropout
2,single,1st phase - general contingent,5,Communication Design,daytime,Secondary education,122.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,124.8,1,0,0,0,male,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
3,single,2nd phase - general contingent,2,Journalism and Communication,daytime,Secondary education,122.0,Portuguese,Basic Education 2nd Cycle,Basic education 1st cycle,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,119.6,1,0,0,1,female,0,20,0,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Non-Dropout
4,married,Over 23 years old,1,Social Service (evening attendance),evening,Secondary education,100.0,Portuguese,Basic education 1st cycle,Basic Education 2nd Cycle,Unskilled Workers,Unskilled Workers,141.5,0,0,0,1,female,0,45,0,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Non-Dropout
5,married,Over 23 years old,1,Management (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",114.8,0,0,1,1,male,0,50,0,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Non-Dropout
6,single,1st phase - general contingent,1,Nursing,daytime,Secondary education,142.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,128.4,1,0,0,1,female,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Non-Dropout
7,single,3rd phase - general contingent,4,Tourism,daytime,Secondary education,119.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,113.1,1,0,0,0,male,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
8,single,1st phase - general contingent,3,Social Service,daytime,Secondary education,137.0,Romanian,Secondary Education - 12th Year,Secondary Education - 12th Year,Unskilled Workers,Unskilled Workers,129.3,0,0,0,1,female,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Non-Dropout
9,single,1st phase - general contingent,1,Social Service,daytime,Secondary education,138.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",123.0,1,0,1,0,female,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout
